"","tourney_name","surface","player","seed","ace","df","svperc","firstwon","secondwon","tour","result"
"23","Fed Cup G1 RR: SRB vs CRO","Hard","Donna Vekic",NA,4,8,56.5789473684211,76.7441860465116,36.3636363636364,"WTA","win"
"24","Fed Cup G1 PPO: GBR vs SRB","Hard","Johanna Konta",NA,9,0,69.2307692307692,71.4285714285714,32.1428571428571,"WTA","win"
"25","Fed Cup WG R1: AUS vs USA","Hard","Ashleigh Barty",NA,10,3,48.4848484848485,90.625,47.0588235294118,"WTA","win"
"26","Fed Cup WG R1: AUS vs USA","Hard","Ashleigh Barty",NA,3,3,60.655737704918,64.8648648648649,37.5,"WTA","win"
"27","Fed Cup WG SF: BLR vs AUS","Hard","Aryna Sabalenka",NA,8,15,66.9354838709677,63.855421686747,29.2682926829268,"WTA","win"
"28","Fed Cup WG SF: BLR vs AUS","Hard","Ashleigh Barty",NA,6,0,64.7887323943662,69.5652173913043,36,"WTA","win"
"29","Fed Cup WG SF: BLR vs AUS","Hard","Ashleigh Barty",NA,12,1,68.8524590163934,73.8095238095238,52.6315789473684,"WTA","win"
"30","Fed Cup WG R1: CZE vs ROU","Hard","Karolina Pliskova",NA,6,2,67.741935483871,76.1904761904762,50,"WTA","win"
"31","Fed Cup WG R1: CZE vs ROU","Hard","Simona Halep",NA,3,4,64.7058823529412,75.7575757575758,44.4444444444444,"WTA","win"
"32","Fed Cup WG R1: CZE vs ROU","Hard","Simona Halep",NA,4,7,57.4257425742574,60.3448275862069,44.1860465116279,"WTA","win"
"33","Fed Cup WG F: FRA vs AUS","Hard","Kristina Mladenovic",NA,1,4,42.8571428571429,83.3333333333333,54.1666666666667,"WTA","win"
"34","Fed Cup WG F: FRA vs AUS","Hard","Ashleigh Barty",NA,8,1,63.6363636363636,90.4761904761905,50,"WTA","win"
"35","Fed Cup WG F: FRA vs AUS","Hard","Kristina Mladenovic",NA,4,5,57.1428571428571,67.8571428571429,52.3809523809524,"WTA","win"
"36","Fed Cup WG F: FRA vs AUS","Hard","Ajla Tomljanovic",NA,7,1,52.3076923076923,67.6470588235294,77.4193548387097,"WTA","win"
"37","Fed Cup WG R1: FRA vs BEL","Hard","Caroline Garcia",NA,1,3,67.0588235294118,68.4210526315789,75,"WTA","win"
"38","Fed Cup WG R1: FRA vs BEL","Hard","Caroline Garcia",NA,2,0,66.6666666666667,77.7777777777778,55.5555555555556,"WTA","win"
"39","Fed Cup WG R1: GER vs BLR","Hard","Aryna Sabalenka",NA,8,2,66.0714285714286,72.972972972973,52.6315789473684,"WTA","win"
"40","Fed Cup WG R1: GER vs BLR","Hard","Aryna Sabalenka",NA,3,5,55,63.6363636363636,62.962962962963,"WTA","win"
"41","Fed Cup WG SF: ROU vs FRA","Clay","Simona Halep",NA,3,1,76.4705882352941,76.9230769230769,16.6666666666667,"WTA","win"
"42","Fed Cup WG SF: ROU vs FRA","Clay","Caroline Garcia",NA,2,0,62.962962962963,58.8235294117647,75,"WTA","win"
"43","Fed Cup WG SF: ROU vs FRA","Clay","Simona Halep",NA,2,3,69.1056910569106,62.3529411764706,50,"WTA","win"
"44","Fed Cup WG R1: USA vs SUI","Hard","Sofia Kenin",NA,0,4,66.25,67.9245283018868,44.4444444444444,"WTA","win"
"45","Fed Cup WG2 R1: SUI vs ITA","Hard","Belinda Bencic",NA,5,6,61.6666666666667,70.2702702702703,30.4347826086957,"WTA","win"
"46","Fed Cup WG2 R1: SUI vs ITA","Hard","Belinda Bencic",NA,3,4,58,82.7586206896552,52.3809523809524,"WTA","win"
"47","Fed Cup WG2 R1: SVK vs LAT","Hard","Jelena Ostapenko",NA,3,10,52.7272727272727,68.9655172413793,53.8461538461538,"WTA","win"
"48","Fed Cup WG2 R1: SVK vs LAT","Hard","Anastasija Sevastova",NA,1,2,52,61.5384615384615,54.1666666666667,"WTA","win"
"49","Fed Cup WG2 R1: SVK vs LAT","Hard","Anastasija Sevastova",NA,3,0,68.1818181818182,66.6666666666667,64.2857142857143,"WTA","win"
"50","Fed Cup WG2 R1: GBR vs KAZ","Hard","Johanna Konta",NA,4,2,61.7977528089888,63.6363636363636,55.8823529411765,"WTA","win"
"51","Fed Cup WG2 R1: GBR vs KAZ","Hard","Yulia Putintseva",NA,3,2,74.1573033707865,65.1515151515152,43.4782608695652,"WTA","win"
"52","Fed Cup WG2 R1: GBR vs KAZ","Hard","Johanna Konta",NA,0,1,61.3333333333333,67.3913043478261,62.0689655172414,"WTA","win"
"53","Zhuhai","Hard","Aryna Sabalenka","4",3,2,54.1666666666667,80.7692307692308,68.1818181818182,"WTA","win"
"54","Zhuhai","Hard","Kiki Bertens","1",3,7,60.7843137254902,66.1290322580645,35,"WTA","win"
"55","Zhuhai","Hard","Aryna Sabalenka","4",1,7,58.5365853658537,58.3333333333333,61.7647058823529,"WTA","win"
"56","Zhuhai","Hard","Kiki Bertens","1",8,8,54.2857142857143,73.6842105263158,50,"WTA","win"
"57","Zhuhai","Hard","Kiki Bertens","1",2,3,50,69.2307692307692,57.6923076923077,"WTA","win"
"58","Zhuhai","Hard","Dayana Yastremska","10",5,3,68.4931506849315,82,39.1304347826087,"WTA","win"
"59","Zhuhai","Hard","Sofia Kenin","2",4,2,61.5384615384615,84.375,65,"WTA","win"
"60","Zhuhai","Hard","Saisai Zheng","12",0,4,50.8196721311475,74.1935483870968,36.6666666666667,"WTA","win"
"61","Zhuhai","Hard","Petra Martic","5",3,1,66.6666666666667,73.6842105263158,36.8421052631579,"WTA","win"
"62","Zhuhai","Hard","Aryna Sabalenka","4",6,10,58.8785046728972,73.015873015873,43.1818181818182,"WTA","win"
"63","Zhuhai","Hard","Aryna Sabalenka","4",6,8,45.9016393442623,85.7142857142857,60.6060606060606,"WTA","win"
"64","Zhuhai","Hard","Elise Mertens","6",2,8,55.5555555555556,72.5,40.625,"WTA","win"
"65","Shenzhen Finals","Hard","Ashleigh Barty","1",NA,NA,NA,NA,NA,"WTA","win"
"66","Shenzhen Finals","Hard","Ashleigh Barty","1",11,1,67.0212765957447,77.7777777777778,48.3870967741936,"WTA","win"
"67","Shenzhen Finals","Hard","Elina Svitolina","8",16,3,61.3333333333333,76.0869565217391,55.1724137931034,"WTA","win"
"68","Shenzhen Finals","Hard","Kiki Bertens",NA,6,6,56,64.2857142857143,38.6363636363636,"WTA","win"
"69","Shenzhen Finals","Hard","Ashleigh Barty","1",6,2,61.9718309859155,79.5454545454545,40.7407407407407,"WTA","win"
"70","Shenzhen Finals","Hard","Ashleigh Barty","1",10,6,59.3023255813954,82.3529411764706,51.4285714285714,"WTA","win"
"71","Shenzhen Finals","Hard","Belinda Bencic","7",1,2,57.5,69.5652173913043,58.8235294117647,"WTA","win"
"72","Shenzhen Finals","Hard","Belinda Bencic","7",5,7,65.4320987654321,58.4905660377358,42.8571428571429,"WTA","win"
"73","Shenzhen Finals","Hard","Karolina Pliskova","2",3,5,65.2777777777778,65.9574468085106,36,"WTA","win"
"74","Shenzhen Finals","Hard","Elina Svitolina","8",2,1,65.8227848101266,61.5384615384615,59.2592592592593,"WTA","win"
"75","Shenzhen Finals","Hard","Elina Svitolina","8",11,4,57.8313253012048,68.75,51.4285714285714,"WTA","win"
"76","Shenzhen Finals","Hard","Elina Svitolina","8",4,1,53.125,76.4705882352941,43.3333333333333,"WTA","win"
"77","Shenzhen Finals","Hard","Karolina Pliskova","2",NA,NA,NA,NA,NA,"WTA","win"
"78","Shenzhen Finals","Hard","Simona Halep","5",NA,NA,NA,NA,NA,"WTA","win"
"79","Shenzhen Finals","Hard","Naomi Osaka","3",NA,NA,NA,NA,NA,"WTA","win"
"80","Australian Open","Hard","Simona Halep","1",4,0,73.8095238095238,74.1935483870968,59.0909090909091,"WTA","win"
"81","Australian Open","Hard","Sofia Kenin",NA,2,1,72.6315789473684,65.2173913043478,42.3076923076923,"WTA","win"
"82","Australian Open","Hard","Dayana Yastremska",NA,5,0,64.9122807017544,75.6756756756757,60,"WTA","win"
"83","Australian Open","Hard","Johanna Konta",NA,16,2,67.7966101694915,67.5,52.6315789473684,"WTA","win"
"84","Australian Open","Hard","Karolina Pliskova","7",4,1,64.8148148148148,71.4285714285714,68.4210526315789,"WTA","win"
"85","Australian Open","Hard","Naomi Osaka","4",6,1,60.9756097560976,96,62.5,"WTA","win"
"86","Australian Open","Hard","Su Wei Hsieh","28",2,3,66.6666666666667,76.3157894736842,31.5789473684211,"WTA","win"
"87","Australian Open","Hard","Anastasija Sevastova","13",4,2,64.7058823529412,66.6666666666667,72.2222222222222,"WTA","win"
"88","Australian Open","Hard","Elise Mertens","12",4,2,67.6470588235294,67.3913043478261,59.0909090909091,"WTA","win"
"89","Australian Open","Hard","Elina Svitolina","6",9,2,62.2641509433962,66.6666666666667,55,"WTA","win"
"90","Australian Open","Hard","Petra Kvitova","8",8,4,60,76.6666666666667,55,"WTA","win"
"91","Australian Open","Hard","Belinda Bencic",NA,1,5,58.0645161290323,70.3703703703704,48.7179487179487,"WTA","win"
"92","Australian Open","Hard","Yulia Putintseva",NA,2,4,78.125,62,50,"WTA","win"
"93","Australian Open","Hard","Aryna Sabalenka","11",5,0,66.6666666666667,85.2941176470588,52.9411764705882,"WTA","win"
"94","Australian Open","Hard","Ashleigh Barty","15",4,0,65.2173913043478,76.6666666666667,37.5,"WTA","win"
"95","Australian Open","Hard","Maria Sakkari",NA,11,3,54.5454545454545,72.2222222222222,63.3333333333333,"WTA","win"
"96","Australian Open","Hard","Petra Martic","31",1,3,75,86.6666666666667,50,"WTA","win"
"97","Australian Open","Hard","Kiki Bertens","9",10,0,58.8235294117647,80,66.6666666666667,"WTA","win"
"98","Australian Open","Hard","Caroline Garcia","19",7,0,69.5652173913043,71.875,64.2857142857143,"WTA","win"
"99","Australian Open","Hard","Donna Vekic","29",4,6,61.0169491525424,80.5555555555556,30.4347826086957,"WTA","win"
"100","Australian Open","Hard","Simona Halep","1",9,1,62.9213483146067,75,54.5454545454545,"WTA","win"
"101","Australian Open","Hard","Dayana Yastremska",NA,4,4,73.1707317073171,65,59.0909090909091,"WTA","win"
"102","Australian Open","Hard","Karolina Pliskova","7",7,0,67.0886075949367,77.3584905660377,42.3076923076923,"WTA","win"
"103","Australian Open","Hard","Naomi Osaka","4",6,1,66,78.7878787878788,47.0588235294118,"WTA","win"
"104","Australian Open","Hard","Su Wei Hsieh","28",1,1,71.2121212121212,68.0851063829787,47.3684210526316,"WTA","win"
"105","Australian Open","Hard","Anastasija Sevastova","13",3,0,68.4210526315789,64.6153846153846,46.6666666666667,"WTA","win"
"106","Australian Open","Hard","Elise Mertens","12",2,4,63.4615384615385,78.7878787878788,42.1052631578947,"WTA","win"
"107","Australian Open","Hard","Elina Svitolina","6",8,1,63.6363636363636,74.2857142857143,75,"WTA","win"
"108","Australian Open","Hard","Petra Kvitova","8",3,5,59.6491228070175,73.5294117647059,43.4782608695652,"WTA","win"
"109","Australian Open","Hard","Belinda Bencic",NA,3,0,66.6666666666667,54.8387096774194,51.6129032258064,"WTA","win"
"110","Australian Open","Hard","Aryna Sabalenka","11",7,1,67.2413793103448,79.4871794871795,52.6315789473684,"WTA","win"
"111","Australian Open","Hard","Ashleigh Barty","15",7,0,60.8695652173913,82.1428571428571,61.1111111111111,"WTA","win"
"112","Australian Open","Hard","Maria Sakkari",NA,5,2,74.468085106383,80,41.6666666666667,"WTA","win"
"113","Australian Open","Hard","Petra Martic","31",1,0,63.6363636363636,59.5238095238095,54.1666666666667,"WTA","win"
"114","Australian Open","Hard","Caroline Garcia","19",5,1,74,75.6756756756757,46.1538461538462,"WTA","win"
"115","Australian Open","Hard","Simona Halep","1",2,2,69.2307692307692,66.6666666666667,62.5,"WTA","win"
"116","Australian Open","Hard","Karolina Pliskova","7",9,1,74.3243243243243,63.6363636363636,68.4210526315789,"WTA","win"
"117","Australian Open","Hard","Naomi Osaka","4",8,1,61.3861386138614,62.9032258064516,51.2820512820513,"WTA","win"
"118","Australian Open","Hard","Anastasija Sevastova","13",2,0,59.1836734693878,82.7586206896552,55,"WTA","win"
"119","Australian Open","Hard","Elina Svitolina","6",7,2,62.7450980392157,62.5,50,"WTA","win"
"120","Australian Open","Hard","Petra Kvitova","8",7,1,71.4285714285714,85.7142857142857,64.2857142857143,"WTA","win"
"121","Australian Open","Hard","Ashleigh Barty","15",13,0,68.4210526315789,76.9230769230769,55.5555555555556,"WTA","win"
"122","Australian Open","Hard","Karolina Pliskova","7",5,0,77.7777777777778,82.1428571428571,75,"WTA","win"
"123","Australian Open","Hard","Naomi Osaka","4",7,1,64.4230769230769,70.1492537313433,51.3513513513514,"WTA","win"
"124","Australian Open","Hard","Elina Svitolina","6",3,4,63.0952380952381,69.811320754717,38.7096774193548,"WTA","win"
"125","Australian Open","Hard","Petra Kvitova","8",1,1,85.7142857142857,83.3333333333333,60,"WTA","win"
"126","Australian Open","Hard","Ashleigh Barty","15",6,4,60.2272727272727,67.9245283018868,60,"WTA","win"
"127","Australian Open","Hard","Karolina Pliskova","7",9,0,78.5714285714286,67.5324675324675,38.0952380952381,"WTA","win"
"128","Australian Open","Hard","Naomi Osaka","4",8,0,61.1111111111111,63.6363636363636,52.3809523809524,"WTA","win"
"129","Australian Open","Hard","Petra Kvitova","8",3,2,68.2539682539683,74.4186046511628,50,"WTA","win"
"130","Australian Open","Hard","Naomi Osaka","4",15,3,57.6086956521739,81.1320754716981,41.025641025641,"WTA","win"
"131","Australian Open","Hard","Petra Kvitova","8",4,4,60,75,54.1666666666667,"WTA","win"
"132","Australian Open","Hard","Naomi Osaka","4",9,4,61.8181818181818,76.4705882352941,45.2380952380952,"WTA","win"
"133","Roland Garros","Clay","Naomi Osaka","1",10,3,62.1951219512195,68.6274509803922,29.0322580645161,"WTA","win"
"134","Roland Garros","Clay","Maria Sakkari","29",9,6,55.7692307692308,82.7586206896552,34.7826086956522,"WTA","win"
"135","Roland Garros","Clay","Caroline Garcia","24",1,2,68,79.4117647058823,50,"WTA","win"
"136","Roland Garros","Clay","Sofia Kenin",NA,4,1,74.1176470588235,58.7301587301587,40.9090909090909,"WTA","win"
"137","Roland Garros","Clay","Su Wei Hsieh","25",0,4,63.1578947368421,52.0833333333333,42.8571428571429,"WTA","win"
"138","Roland Garros","Clay","Ashleigh Barty","8",3,2,65.4545454545455,58.3333333333333,47.3684210526316,"WTA","win"
"139","Roland Garros","Clay","Simona Halep","3",3,3,71.25,57.8947368421053,52.1739130434783,"WTA","win"
"140","Roland Garros","Clay","Aryna Sabalenka","11",5,8,66.6666666666667,69.2307692307692,46.1538461538462,"WTA","win"
"141","Roland Garros","Clay","Ekaterina Alexandrova",NA,2,4,53.3333333333333,78.125,46.4285714285714,"WTA","win"
"142","Roland Garros","Clay","Elina Svitolina","9",0,3,50,62.0689655172414,41.3793103448276,"WTA","win"
"143","Roland Garros","Clay","Belinda Bencic","15",2,1,62.7906976744186,62.962962962963,68.75,"WTA","win"
"144","Roland Garros","Clay","Donna Vekic","23",4,0,59.1836734693878,82.7586206896552,70,"WTA","win"
"145","Roland Garros","Clay","Johanna Konta","26",2,0,63.7931034482759,70.2702702702703,47.6190476190476,"WTA","win"
"146","Roland Garros","Clay","Kiki Bertens","4",1,6,66.0714285714286,91.8918918918919,42.1052631578947,"WTA","win"
"147","Roland Garros","Clay","Elise Mertens","20",1,5,61.4457831325301,56.8627450980392,50,"WTA","win"
"148","Roland Garros","Clay","Anastasija Sevastova","12",0,0,62,77.4193548387097,26.3157894736842,"WTA","win"
"149","Roland Garros","Clay","Veronika Kudermetova",NA,2,3,51.1363636363636,66.6666666666667,41.8604651162791,"WTA","win"
"150","Roland Garros","Clay","Petra Martic","31",1,0,64.9122807017544,67.5675675675676,35,"WTA","win"
"151","Roland Garros","Clay","Kristina Mladenovic",NA,1,1,57.1428571428571,58.3333333333333,62.962962962963,"WTA","win"
"152","Roland Garros","Clay","Karolina Pliskova","2",1,6,62.7118644067797,64.8648648648649,40.9090909090909,"WTA","win"
"153","Roland Garros","Clay","Naomi Osaka","1",6,1,62.7272727272727,60.8695652173913,56.0975609756098,"WTA","win"
"154","Roland Garros","Clay","Sofia Kenin",NA,NA,NA,NA,NA,NA,"WTA","win"
"155","Roland Garros","Clay","Ashleigh Barty","8",4,2,52.3076923076923,73.5294117647059,54.8387096774194,"WTA","win"
"156","Roland Garros","Clay","Simona Halep","3",4,4,73.7373737373737,61.6438356164384,34.6153846153846,"WTA","win"
"157","Roland Garros","Clay","Ekaterina Alexandrova",NA,10,5,48.1927710843374,72.5,60.4651162790698,"WTA","win"
"158","Roland Garros","Clay","Elina Svitolina","9",NA,NA,NA,NA,NA,"WTA","win"
"159","Roland Garros","Clay","Belinda Bencic","15",0,6,64.7619047619048,61.7647058823529,32.4324324324324,"WTA","win"
"160","Roland Garros","Clay","Donna Vekic","23",0,6,63.3802816901408,66.6666666666667,50,"WTA","win"
"161","Roland Garros","Clay","Johanna Konta","26",5,1,74.4444444444444,58.2089552238806,60.8695652173913,"WTA","win"
"162","Roland Garros","Clay","Elise Mertens","20",2,2,57.5,86.9565217391304,70.5882352941177,"WTA","win"
"163","Roland Garros","Clay","Anastasija Sevastova","12",4,0,62.2641509433962,78.7878787878788,65,"WTA","win"
"164","Roland Garros","Clay","Veronika Kudermetova",NA,2,2,58.6206896551724,61.7647058823529,54.1666666666667,"WTA","win"
"165","Roland Garros","Clay","Petra Martic","31",3,0,70.4545454545455,64.5161290322581,84.6153846153846,"WTA","win"
"166","Roland Garros","Clay","Karolina Pliskova","2",8,1,76.7441860465116,81.8181818181818,60,"WTA","win"
"167","Roland Garros","Clay","Sofia Kenin",NA,0,1,64.1025641025641,72,50,"WTA","win"
"168","Roland Garros","Clay","Ashleigh Barty","8",8,3,58,79.3103448275862,57.1428571428571,"WTA","win"
"169","Roland Garros","Clay","Simona Halep","3",0,3,74.2857142857143,61.5384615384615,33.3333333333333,"WTA","win"
"170","Roland Garros","Clay","Donna Vekic","23",8,4,64.4444444444444,75.8620689655172,37.5,"WTA","win"
"171","Roland Garros","Clay","Johanna Konta","26",5,0,60.9756097560976,80,62.5,"WTA","win"
"172","Roland Garros","Clay","Anastasija Sevastova","12",4,1,58.1699346405229,62.9213483146067,56.25,"WTA","win"
"173","Roland Garros","Clay","Petra Martic","31",1,4,68.2539682539683,65.1162790697674,50,"WTA","win"
"174","Roland Garros","Clay","Ashleigh Barty","8",11,3,64.3835616438356,76.5957446808511,50,"WTA","win"
"175","Roland Garros","Clay","Simona Halep","3",0,0,75.7575757575758,84,25,"WTA","win"
"176","Roland Garros","Clay","Johanna Konta","26",7,3,69.6969696969697,69.5652173913043,40,"WTA","win"
"177","Roland Garros","Clay","Petra Martic","31",1,8,65.9090909090909,65.5172413793103,43.3333333333333,"WTA","win"
"178","Roland Garros","Clay","Ashleigh Barty","8",4,1,60,80.5555555555556,62.5,"WTA","win"
"179","Roland Garros","Clay","Johanna Konta","26",6,2,70.3703703703704,86.8421052631579,50,"WTA","win"
"180","Roland Garros","Clay","Ashleigh Barty","8",5,3,52.6881720430108,69.3877551020408,45.4545454545455,"WTA","win"
"181","Roland Garros","Clay","Ashleigh Barty","8",3,1,68.5185185185185,62.1621621621622,76.4705882352941,"WTA","win"
"182","Wimbledon","Grass","Ashleigh Barty","1",1,4,55.7692307692308,86.2068965517241,56.5217391304348,"WTA","win"
"183","Wimbledon","Grass","Belinda Bencic","13",2,1,71.1538461538462,75.6756756756757,53.3333333333333,"WTA","win"
"184","Wimbledon","Grass","Kiki Bertens","4",2,2,52.8301886792453,67.8571428571429,68,"WTA","win"
"185","Wimbledon","Grass","Elise Mertens","21",4,3,67.5,70.3703703703704,69.2307692307692,"WTA","win"
"186","Wimbledon","Grass","Johanna Konta","19",6,1,61.2903225806452,78.9473684210526,58.3333333333333,"WTA","win"
"187","Wimbledon","Grass","Kristina Mladenovic",NA,5,11,54.8387096774194,76.4705882352941,57.1428571428571,"WTA","win"
"188","Wimbledon","Grass","Petra Kvitova","6",0,1,72.3404255319149,67.6470588235294,61.5384615384615,"WTA","win"
"189","Wimbledon","Grass","Elina Svitolina","8",1,1,66.0714285714286,72.972972972973,52.6315789473684,"WTA","win"
"190","Wimbledon","Grass","Maria Sakkari","31",4,1,57.7464788732394,75.609756097561,53.3333333333333,"WTA","win"
"191","Wimbledon","Grass","Petra Martic","24",3,0,70.1149425287356,65.5737704918033,65.3846153846154,"WTA","win"
"192","Wimbledon","Grass","Anastasija Sevastova","12",7,1,62.8571428571429,63.6363636363636,46.1538461538462,"WTA","win"
"193","Wimbledon","Grass","Su Wei Hsieh","28",1,0,64.4444444444444,65.5172413793103,50,"WTA","win"
"194","Wimbledon","Grass","Karolina Pliskova","3",6,2,63.7931034482759,81.0810810810811,47.6190476190476,"WTA","win"
"195","Wimbledon","Grass","Simona Halep","7",3,0,63.4146341463415,57.6923076923077,70,"WTA","win"
"196","Wimbledon","Grass","Ajla Tomljanovic",NA,3,3,46.8085106382979,68.1818181818182,56,"WTA","win"
"197","Wimbledon","Grass","Veronika Kudermetova",NA,7,6,57.1428571428571,69.4444444444444,51.8518518518519,"WTA","win"
"198","Wimbledon","Grass","Sofia Kenin","27",1,0,76,78.9473684210526,50,"WTA","win"
"199","Wimbledon","Grass","Dayana Yastremska",NA,5,5,62.7118644067797,62.1621621621622,40.9090909090909,"WTA","win"
"200","Wimbledon","Grass","Yulia Putintseva",NA,3,3,66.6666666666667,66,52,"WTA","win"
"201","Wimbledon","Grass","Ashleigh Barty","1",2,0,55.8139534883721,79.1666666666667,57.8947368421053,"WTA","win"
"202","Wimbledon","Grass","Belinda Bencic","13",3,4,61.6666666666667,64.8648648648649,56.5217391304348,"WTA","win"
"203","Wimbledon","Grass","Kiki Bertens","4",3,5,53.4090909090909,65.9574468085106,58.5365853658537,"WTA","win"
"204","Wimbledon","Grass","Elise Mertens","21",3,5,54.8387096774194,70.5882352941177,50,"WTA","win"
"205","Wimbledon","Grass","Johanna Konta","19",7,2,76.4705882352941,79.4871794871795,75,"WTA","win"
"206","Wimbledon","Grass","Petra Kvitova","6",8,3,61.8181818181818,73.5294117647059,61.9047619047619,"WTA","win"
"207","Wimbledon","Grass","Elina Svitolina","8",2,0,78.021978021978,63.3802816901408,40,"WTA","win"
"208","Wimbledon","Grass","Maria Sakkari","31",4,2,60.377358490566,78.125,47.6190476190476,"WTA","win"
"209","Wimbledon","Grass","Petra Martic","24",1,3,60.5769230769231,68.2539682539683,48.780487804878,"WTA","win"
"210","Wimbledon","Grass","Su Wei Hsieh","28",0,2,75.8620689655172,72.7272727272727,64.2857142857143,"WTA","win"
"211","Wimbledon","Grass","Karolina Pliskova","3",9,0,65.8536585365854,74.0740740740741,71.4285714285714,"WTA","win"
"212","Wimbledon","Grass","Simona Halep","7",1,3,68.4210526315789,53.8461538461538,45.8333333333333,"WTA","win"
"213","Wimbledon","Grass","Dayana Yastremska",NA,10,6,63.5514018691589,63.2352941176471,53.8461538461538,"WTA","win"
"214","Wimbledon","Grass","Ashleigh Barty","1",11,2,64.1025641025641,92,50,"WTA","win"
"215","Wimbledon","Grass","Elise Mertens","21",6,3,69.7183098591549,67.6767676767677,48.8372093023256,"WTA","win"
"216","Wimbledon","Grass","Johanna Konta","19",7,1,68.9655172413793,65,66.6666666666667,"WTA","win"
"217","Wimbledon","Grass","Petra Kvitova","6",4,0,75,80.5555555555556,58.3333333333333,"WTA","win"
"218","Wimbledon","Grass","Elina Svitolina","8",1,2,68,66.1764705882353,40.625,"WTA","win"
"219","Wimbledon","Grass","Petra Martic","24",3,2,62.3376623376623,70.8333333333333,65.5172413793103,"WTA","win"
"220","Wimbledon","Grass","Karolina Pliskova","3",14,4,74.025974025974,73.6842105263158,45,"WTA","win"
"221","Wimbledon","Grass","Simona Halep","7",1,0,58.8235294117647,66.6666666666667,66.6666666666667,"WTA","win"
"222","Wimbledon","Grass","Dayana Yastremska",NA,6,9,57.7777777777778,71.1538461538462,39.4736842105263,"WTA","win"
"223","Wimbledon","Grass","Johanna Konta","19",5,4,66.3551401869159,73.2394366197183,41.6666666666667,"WTA","win"
"224","Wimbledon","Grass","Elina Svitolina","8",3,5,62.1621621621622,82.6086956521739,32.1428571428571,"WTA","win"
"225","Wimbledon","Grass","Simona Halep","7",2,5,56.8965517241379,75.7575757575758,44,"WTA","win"
"226","Wimbledon","Grass","Elina Svitolina","8",2,1,55.2238805970149,59.4594594594595,46.6666666666667,"WTA","win"
"227","Wimbledon","Grass","Simona Halep","7",1,1,76.3157894736842,72.4137931034483,44.4444444444444,"WTA","win"
"228","Wimbledon","Grass","Simona Halep","7",1,3,70,73.8095238095238,44.4444444444444,"WTA","win"
"229","Wimbledon","Grass","Simona Halep","7",1,0,76.0869565217391,82.8571428571429,45.4545454545455,"WTA","win"
